"","state_ut","year","death_remanded","death_not_remanded","state_pca","district_pca","type","sc_order1","committee1","gdp","religion2","head_trans"
"250","CHHATTISGARH ",2008,0,0,1,0,"act",1,1,96972,1,0.45
"251","GOA",2008,0,0,1,0,"go",1,1,25414,1,0
"252","GUJARAT ",2008,9,13,1,1,"act",1,1,367912,1,0.615384615
"253","HARYANA ",2008,2,0,1,0,"act",1,1,182522,1,2.9199050173063
"254","HIMACHAL PRADESH ",2008,0,0,0,1,"act",1,1,41483,1,0.583333333
"255","JAMMU & KASHMIR ",2008,0,1,0,0,"0",1,1,42315,0,2.07554119025771
"256","JHARKHAND",2008,0,0,1,1,"go",1,1,87794,1,0.136363636
"257","KARNATAKA ",2008,2,1,0,0,"0",1,1,310312,1,0.481481481
"258","KERALA ",2008,0,0,1,1,"act",1,1,202783,1,0.647058824
"259","MADHYA PRADESH",2008,0,4,0,0,"0",1,1,197276,1,0.4375
"260","MAHARASHTRA",2008,10,21,0,0,"0",1,1,753969,1,0.807061728465937
"261","MANIPUR ",2008,0,0,1,1,"go",1,1,7399,1,0.111111111
"262","MEGHALAYA ",2008,1,0,0,0,"0",1,1,11617,1,0.285714286
"263","MIZORAM ",2008,0,1,0,0,"0",1,1,4577,1,0
"264","NAGALAND ",2008,0,0,1,0,"go",1,1,9436,1,0.363636364
"265","ORISSA ",2008,0,1,1,0,"go",1,1,148491,1,0.59375
"266","PUNJAB ",2008,0,2,1,1,"act",1,1,174039,0,5
"267","RAJASTHAN ",2008,1,3,1,1,"act",1,1,230949,1,0
"268","SIKKIM ",2008,0,0,1,0,"act",1,1,3229,1,0
"269","TAMIL NADU ",2008,0,1,0,0,"0",1,1,401336,1,1.833333333
"270","TRIPURA ",2008,0,0,0,0,"0",1,1,13573,1,1
"271","UTTAR PRADESH ",2008,0,5,0,0,"0",1,1,444685,1,8.755555556
"272","UTTARAKHAND ",2008,0,0,1,0,"act",1,1,56025,1,0.769230769
"273","WEST BENGAL ",2008,0,0,0,0,"0",1,1,341942,1,0.444444444
"274","Z A & N ISLANDS",2008,0,0,0,0,"0",1,1,3480,1,0
"275","Z CHANDIGARH ",2008,0,1,0,0,"0",1,1,15334,1,0
"276","Z D & N HAVELI",2008,0,0,0,0,"0",1,1,162434.233332535,1,0
"277","Z DAMAN & DIU",2008,0,0,0,0,"0",1,1,41559.2302118108,1,0
"278","Z DELHI ",2008,0,0,0,0,"0",1,1,189533,1,0.444444444
"279","Z LAKSHADWEEP ",2008,0,0,0,0,"0",1,1,23874.7406823673,0,0
"280","Z PUDUCHERRY ",2008,0,0,0,0,"0",1,1,10050,1,0
"281","ANDHRA PRADESH",2009,4,2,0,0,"0",1,1,273327,1,0.363636364
"282","ARUNACHAL PRADESH ",2009,0,0,1,0,"go",1,1,7474,1,0.090909091
"283","ASSAM",2009,7,0,1,1,"act",1,1,95975,1,0.444444444
"284","BIHAR ",2009,0,0,0,1,"act",1,1,162923,1,0.375
"285","CHHATTISGARH ",2009,1,1,1,0,"act",1,1,99364,1,1.05
"286","GOA",2009,0,0,1,0,"go",1,1,29126,1,0
"287","GUJARAT ",2009,2,4,1,1,"act",1,1,431262,1,0.038461538
"288","HARYANA ",2009,3,0,1,0,"act",1,1,223600,1,0.578947368
"289","HIMACHAL PRADESH ",2009,1,0,0,1,"act",1,1,48189,1,0.666666667
"290","JAMMU & KASHMIR ",2009,0,0,0,0,"0",1,1,48385,0,0.85
"291","JHARKHAND",2009,0,0,1,1,"go",1,1,100621,1,0.772727273
